country,Sum of suicides100k pop,Sum of  gdp_for_year
Albania,924.76,1.37588E+12
Antigua and Barbuda,179.14,2.60349E+11
Argentina,3894.59,1.02023E+14
Armenia,976.21,1.6052E+12
Aruba,1596.52,3.68966E+11
Australia,4677.41,2.2779E+14
Austria,9076.23,1.01618E+14
Azerbaijan,356.24,1.38445E+12
Bahamas,344.28,2.10142E+12
Bahrain,467.24,4.05379E+12
Barbados,891.13,9.27172E+11
Belarus,7831.13,7.73046E+12
Belgium,7900.5,1.18446E+14
Belize,2093.49,3.21228E+11
Bosnia and Herzegovina,110.81,4.46437E+11
Brazil,2174.72,3.80393E+14
Bulgaria,7016.08,9.77206E+12
Cabo Verde,133.84,22377888972
Canada,4338.72,3.17789E+14
Chile,3921.64,4.13866E+13
Colombia,2009.39,5.37406E+13
Costa Rica,2553.72,6.90607E+12
Croatia,5982.84,1.13127E+13
Cuba,6111.95,1.32724E+13
Cyprus,586.26,3.80559E+12
Czech Republic,5952.99,3.93021E+13
Denmark,3721.65,6.6801E+13
Dominica,0,1183022220
Ecuador,2345.21,1.47317E+13
El Salvador,3035.94,3.90233E+12
Estonia,6873.78,3.64036E+12
Fiji,673.86,3.86413E+11
Finland,7924.11,6.10047E+13
France,7803.25,6.4123E+14
Georgia,1116.38,2.05307E+12
Germany,4854.69,8.55577E+14
Greece,1512.12,6.56969E+13
Grenada,661,1.78634E+11
Guatemala,1146.7,9.08501E+12
Guyana,6655.92,3.36261E+11
Hungary,10156.07,2.77524E+13
Iceland,4889.74,4.1014E+12
Ireland,3881.73,4.73611E+13
Israel,3329.97,5.18687E+13
Italy,3168.87,5.51212E+14
Jamaica,106.44,1.62272E+12
Japan,8025.23,1.61419E+15
Kazakhstan,9519.52,2.45504E+13
Kiribati,878.51,7825425324
Kuwait,355.93,2.16511E+13
Kyrgyzstan,4457.3,1.0327E+12
Latvia,7373.35,4.61578E+12
Lithuania,10588.88,7.26018E+12
Luxembourg,6156.56,1.13808E+13
Macau,171.74,75190131024
Maldives,164.08,1.84037E+11
Malta,1872.01,1.96839E+12
Mauritius,4464.58,2.30296E+12
Mexico,1751.19,2.53074E+14
Mongolia,184.39,1.11835E+11
Montenegro,1194.03,2.94895E+11
Netherlands,4066.52,2.07252E+14
New Zealand,5008.32,2.87763E+13
Nicaragua,472.82,7.74473E+11
Norway,4658.76,9.09236E+13
Oman,26.5,2.25729E+12
Panama,1744.06,6.06273E+12
Paraguay,1366.37,3.78667E+12
Philippines,435.83,2.04634E+13
Poland,4397.62,8.4804E+13
Portugal,3673.36,4.50101E+13
Puerto Rico,3789.28,2.35184E+13
Qatar,318.15,1.95837E+13
Republic of Korea,9350.45,2.50513E+14
Romania,4171.55,3.20933E+13
Russian Federation,11305.13,2.86521E+14
Saint Kitts and Nevis,0,7776671112
Saint Lucia,2420.12,2.82558E+11
Saint Vincent and Grenadines,1726.63,1.46534E+11
San Marino,145.62,51314998032
Serbia,4787.45,6.72305E+12
Seychelles,1615.7,1.84997E+11
Singapore,6340.98,4.66831E+13
Slovakia,3318.16,1.42021E+13
Slovenia,7012.62,9.04682E+12
South Africa,231.49,5.98719E+13
Spain,3509.06,3.18643E+14
Sri Lanka,4658.96,2.02309E+12
Suriname,7162.32,6.52978E+11
Sweden,5247.72,1.27081E+14
Switzerland,4794.07,1.15046E+14
Thailand,2362.67,6.9981E+13
Trinidad and Tobago,4479.51,3.38523E+12
Turkey,199.17,7.04113E+13
Turkmenistan,2994.73,4.02969E+12
Ukraine,8931.66,2.81874E+13
United Arab Emirates,94.89,1.82335E+13
United Kingdom,2790.92,6.75577E+14
United States,5140.97,3.90998E+15
Uruguay,6538.96,7.8551E+12
Uzbekistan,2138.17,6.03505E+12
(blank),,
Grand Total,356543.83,1.23961E+16